coupling_id,file,line,expression,kind,markets_served,markets_excluded,public_output_affected,other_markets_render_today,wrong_or_generic,production_evidence,smallest_generic_fix,effort_1_5,blocks_new_country,template_fix_id,status,notes
CC-3192,frontend/app/[country]/[lang]/consult/[serviceSlug]/_components/consultation-booking-form.tsx,651-660,if (isBrazil && !nationalIdNumber && !passportNumber) {...} if (isCzech && !passportNumber) {...},legitimate_market_rule,"br,cz","ie,pt,es,ro",Booking form validation messages,No validation,correct,not public,Same two Country fields drive both the field and its required-ness,1,yes,TF-08,proposed,
CC-3206,frontend/app/[country]/[lang]/consult/[serviceSlug]/_components/consultation-booking-form.tsx,1743-1751,"if (lower.startsWith(""portugal"")) return ""NIF / Cartao de Cidadao""; ""brazil""->""CPF""; ""spain""->""DNI / NIE""; ""ireland""->""PPS number""; ""romania""->""CNP""",legitimate_market_rule,"ie,pt,es,ro,br",cz (falls through to a generic label),Booking form tax/ID field label,Generic label,wrong,not public,Country.taxIdLabel (one string per country; the invoice path keeps a second copy of this table in backend/src/modules/patient-profile/patient-country-tax-ids.ts),2,yes,TF-08,proposed,"The same five-country table exists twice, front and back; they can drift."
CC-3452,frontend/lib/content/booking-address-copy.ts,93-140,"const COUNTRY_OVERRIDES = { br: BRAZIL, ie: IRELAND }; export function collectsAddressState(country) { return country.trim().toLowerCase() === ""br""; }",legitimate_market_rule,"br,ie","cz,pt,es,ro",Booking address form labels + state/region field,"No state field, generic address labels",correct,not public,Country.addressFields: string[] (or a per-country JSON in the same country config file) so the state field and its label arrive together,2,yes,TF-08,proposed,"BRAZIL_STATES is fine as reference data; the === ""br"" predicate is the coupling."
CC-3416,frontend/lib/analytics/booking.ts,7,"{ ie: ""ireland"", pt: ""portugal"", cz: ""czechia"", es: ""spain"", ro: ""romania"", br: ""brazil"" }",legitimate_market_rule,"ie,cz,pt,es,ro,br",(a 7th market),"GA4 booking events (book_appointment_click, select_time_slot, booking_confirmed) + the `market` dimension","trackBookingEvent() returns false and fires NOTHING when the normalised market is not in this literal - a new market's booking events are silently dropped, not merely unlabelled",wrong,not public,Reuse countrySlug(code) from lib/routing/country-slug.ts - the registry already holds this mapping and is DB-warmed,1,yes,TF-08,proposed,"Strongest blocks_new_country case in the audit: the guard on line 20 drops the event entirely, so a new market shows zero bookings in GA4 with no error anywhere."
CC-3167,frontend/app/[country]/[lang]/book/page.tsx,88-94,"function marketBookPage(code, lang, bookPage) { return code === ""br"" ? { ...bookPage, ...BRAZIL_BOOK_PAGE[lang] } : bookPage; }",one_market_content,br,"ie,cz,pt,es,ro","/{country}/{lang}/book title, subtitle, same-day link label",Shared bookPage copy - PT-PT phrasing is what Brazil would otherwise get,generic,https://www.myglobalhealth.online/brazil/pt/book 2026-09-15: 'Agende sua consulta - Brasil' vs https://www.myglobalhealth.online/portugal/pt/book 'Marque a sua consulta - Portugal',Fold into the TF-04 market override map (bookPage is a common-bundle namespace),1,yes,TF-09,proposed,
CC-3559,frontend/lib/content/country-gp-copy.ts,1-5,"return code === ""cz"" && locale === ""cs"" ? ""Terminy se zobrazuji podle aktualni dostupnosti."" : fallback;",one_market_content,cz (cs),"ie,pt,es,ro,br",/{country}/{lang}/gp-consultation-online feature-3 subtitle,Shared i18n subtitle,generic,https://www.myglobalhealth.online/czechia/cs 2026-09-15: Czech availability wording live on the cz GP hub; other markets show the shared line,One string - belongs in the cz market override JSON (TF-04); then delete the module,1,yes,TF-09,proposed,A whole module for one sentence.
CC-3646,frontend/lib/content/insurance-seo-line.ts,45-53,"if (!insuranceLine || (countryCode === ""pt"" && locale === ""pt"")) return baseDescription;",one_market_content,"pt (pt, suppressed)","ie,cz,es,ro,br",/{country}/{lang}/services/{slug} <meta description> suffix,Insurance sentence appended to the description,correct,not public (only fires when the service has a covering insurer),"Service.seoDescriptionIsExact: boolean (or PageContent.lockDescription) - the rule is 'this description is clinically approved verbatim', which is not a country fact",2,yes,TF-09,proposed,The file comment states the real rule: 'Portugal's clinically approved SEO descriptions are exact reviewed copy'.
CC-3383,frontend/components/sections/CountryTrustBar.tsx,176-179,"const t = trust.country.code.toLowerCase() === ""br"" && lang === ""pt"" ? BR_PT_PHRASES : (PHRASES[lang] ?? PHRASES.en);",one_market_content,br (pt),"ie,cz,pt,es,ro",Sitewide footer trust bar phrases,Shared language phrases (European Portuguese would otherwise apply on /brazil/pt),correct,https://www.myglobalhealth.online/brazil/pt 2026-09-15: trust bar renders pt-BR phrasing,Same MARKET_PHRASES[code]?.[lang] ?? PHRASES[lang] table shape used by TF-02/TF-05,1,no,TF-09,proposed,
CC-3386,frontend/components/sections/CountryTrustBar.tsx,336,"{trust.country.code.toLowerCase() === ""ie"" ? (<DoctifyWidget .../>) : null}",legitimate_market_rule,ie,"cz,pt,es,ro,br",Footer trust bar - Doctify verified-reviews tile,Tile absent,correct,https://www.myglobalhealth.online/ireland/en 2026-09-15: Doctify tile present; https://www.myglobalhealth.online/czechia/cs absent,Country.reviewWidget ('doctify'|'google'|null) plus a widget registry - the market either has a review partner or it does not,2,no,TF-09,proposed,Legitimate (the Doctify practice profile really is Ireland-only) but inline; review destinations are already modelled per country in review-destinations.ts.
CC-3772,frontend/lib/content/service-hub-content-es-ro-de.ts,8-10,"const es = l === ""es""; const ro = l === ""ro""; const t = <T>(a: T, b: T, d: T) => (es ? a : ro ? b : d);",one_market_content,locales es/ro (de falls to the default arm),,/{country}/{lang}/see-a-specialist and /lab-tests hub copy,The default arm - German gets the fallback despite the filename,generic,not public (hub copy; not separately verified),"Move the strings into locales/{es,ro,de}/services.json - this is language copy, not market copy, and the locale bundle already exists for it",2,no,TF-09,proposed,Not country coupling: a locale-keyed ternary chain that duplicates the i18n loader. Included because the locator flagged it and the fix is the same loader.
CC-3524,frontend/lib/content/country-doctors-copy.ts,26-299,"const OVERRIDES: Record<string, DoctorsOverride> = { ""cz:cs"": ..., ""ie:en"": ..., ""br:pt"": ..., ""pt:pt"": ..., ""ro:ro"": ..., ""es:es"": ... }",one_market_content,"ie,cz,pt,es,ro,br",(a 7th market),"/{country}/{lang}/doctors title, description, H1, intro",All six covered today; a new market falls to the generic template,correct,https://www.myglobalhealth.online/romania/ro/doctors 2026-09-15: 'Medici inregistrati CMR | Consultatii online in Romania',Same per-country content record as TF-01 (this file already uses the right shape: consistent lowercase `${code}:${locale}` keys),2,yes,TF-09,proposed,Reference implementation for the good version of the country-home-copy.ts pattern.
CC-3467,frontend/lib/content/country-contact.ts,93-649,"export const COUNTRY_CONTACT: Record<string, CountryContact> = { ie, cz, pt, es, ro, br }",one_market_content,"ie,cz,pt,es,ro,br",(a 7th market),"/{country}/{lang}/contact offices, phones, emails, hours; LocalBusiness JSON-LD",A new market renders no office block and no local schema,correct,https://www.myglobalhealth.online/spain/es/contact 2026-09-15: 'Contacto - Global Health Espana' with Spain office data,Move to the CountryContact rows the backend already holds (admin edits some of these fields today) or a per-country config file,3,yes,TF-09,proposed,729 lines of address/phone/hours data in a TS literal - the largest 'new country needs a deploy' item after the locale JSONs.
CC-3455,frontend/lib/content/country-certification-logos.ts,34-210,"const LOGOS_BY_COUNTRY: Record<string, CountryCertificationLogo[]> = { ie, pt, cz, es, ro, br }",one_market_content,"ie,cz,pt,es,ro,br",(a 7th market),Home + doctors trust strip - regulator/authority/partner logos,A new market renders an empty logo strip,correct,https://www.myglobalhealth.online/ireland/en 2026-09-15: certification logo strip present,Reuse the existing CountryAuthorityLink admin table (it already carries category + url) plus an image asset slot,3,yes,TF-09,proposed,Images also need uploading - see the new-country checklist.
CC-NEW-001,frontend/data/countries.ts,47-131,"export const countries: CountryConfig[] = [ie, cz, pt, es, ro, br]",legitimate_market_rule,"ie,cz,pt,es,ro,br",(a 7th market),"Tool-page market set and global tool hreflang cluster, country-slug registry seed, bookingTimezone, supportedLocales","An admin-created country is routable (identity fallback in country-slug.ts) but absent from toolMarkets(), so its /tools/* pages 404 and it is missing from the global tool hreflang cluster",wrong,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator 2026-09-15: the tool hreflang cluster enumerates exactly the six seeded markets,Have toolMarkets() and the slug registry read getPublicCountriesMerged() (already DB-backed) instead of seedCountries; keep the seed only as a cold-start fallback,3,yes,TF-10,proposed,"The file's own comment says the type was widened so admins could add countries 'without a code release', but three consumers still read the seed array."
CC-3868,frontend/lib/i18n/types.ts,1,"export const supportedLocaleCodes = [""en"",""pt"",""es"",""cs"",""ro"",""de""] as const;",legitimate_market_rule,all six locales,(a 7th language),Every localized route,n/a,correct,not public,Keep as the single source of truth and delete the four duplicates below,1,no,TF-10,proposed,This one is fine; the duplicates are the problem.
CC-3784,frontend/lib/i18n/html-lang.ts,1,"export const supportedHtmlLangs = new Set([""en"",""pt"",""es"",""cs"",""ro"",""de""]);",legitimate_market_rule,all six locales,(a 7th language),<html lang> on every page,n/a,correct,https://www.myglobalhealth.online/czechia/cs 2026-09-15: served HTML carries lang=cs,new Set(supportedLocaleCodes) - import it,1,no,TF-10,proposed,Duplicate 1 of 4.
CC-3661,frontend/lib/content/merge-public-content.ts,22,"const KNOWN_LOCALE = new Set<LocaleCode>([""en"",""pt"",""es"",""cs"",""ro"",""de""]);",legitimate_market_rule,all six locales,(a 7th language),Backend locale normalisation for all public content,n/a,correct,not public,new Set(supportedLocaleCodes),1,no,TF-10,proposed,Duplicate 2 of 4.
CC-3885,frontend/lib/routing/path-rewrites.ts,19,"const KNOWN_LOCALES = new Set([""en"",""pt"",""es"",""cs"",""ro"",""de""]);",legitimate_market_rule,all six locales,(a 7th language),Header country/language switcher hrefs,Switcher silently drops an unknown locale segment,correct,not public,new Set(supportedLocaleCodes),1,no,TF-10,proposed,Duplicate 3 of 4.
CC-3895,frontend/lib/seo/gone-content.ts,90,"export const GONE_LOCALES = [""en"",""pt"",""es"",""cs"",""ro"",""de""] as const;",test_or_dead,all six locales,(a 7th language),410 Gone responses for retired Wix URLs,n/a,correct,not public,"supportedLocaleCodes - or freeze it deliberately, since the retired URL set is historical",1,no,TF-10,proposed,Duplicate 4 of 4; freezing is defensible here because the legacy URL set never grows.
CC-2820,backend/src/modules/automation/notification-language.ts,15,"export const NOTIFICATION_LANGS = [""en"",""pt"",""ro"",""cs"",""es""] as const;",legitimate_market_rule,"en,pt,ro,cs,es",de,Transactional email/SMS language,A German-locale patient receives English notifications even though every public page supports de,wrong,not public,Derive from the frontend's supportedLocaleCodes (or a shared constant) so adding a language adds it everywhere,2,yes,TF-10,proposed,"Live gap today, not just a new-country risk: de ships on the public site but not in notifications."
CC-2968,backend/src/modules/review-invites/review-destinations.ts,122-124,"const localeCode = selected === ""pt-br"" ? selected : [""en"",""pt"",""es"",""cs"",""ro""].includes(base) ? base : ""en"";",legitimate_market_rule,"en,pt,pt-br,es,cs,ro",de,Review-invite email language,English,wrong,not public,Same shared locale constant,1,yes,TF-10,proposed,"Models pt-BR as a locale suffix - a third convention for the pt/pt-BR split (locale suffix here, market override in load-locale.ts, inline copy in market-copy.ts)."
CC-2825,backend/src/modules/automation/pre-payment-messages.ts,3-40,"export type AutomationLang = ""en""|""pt""|""ro""|""cs""|""es""; const MAP = { RO:""ro"", SP:""es"", ES:""es"", ... }",legitimate_market_rule,"en,pt,ro,cs,es",de,Pre/post-payment automation message language,English,wrong,not public,Same shared locale constant plus the country-code registry,2,yes,TF-10,proposed,Also carries a legacy 'SP' alias for Spain alongside 'ES'.
CC-2553,backend/src/content/ireland-general-service-keywords.ts,1-800,"21 country-named draft/patch modules under backend/src/content (11 ireland-*, 3 czechia-*, 7 portugal-*)",applied_script_or_draft_module,"ie,cz,pt",,none at runtime - one-shot payloads for CMS patch scripts,n/a,n/a,not public,Move applied payloads to backend/scripts/applied/ (or delete once the DB write is verified); keep only what an admin re-runs,2,no,TF-11,proposed,17 of the 42 country-named modules are referenced from nothing at all.
CC-0115,backend/scripts/apply-romania-editorial.mjs,1,"~152 country-named scripts; 143 outside backend/scripts/applied/, 0 referenced from runtime",applied_script_or_draft_module,all six,,"none at runtime - one-shot CMS writes, though their EFFECTS are public",n/a,n/a,2026-09-15: 13 scripts spot-checked against production; all 13 effects live (see country_scripts_cleanup.csv),Move one-shot scripts to backend/scripts/applied/ after a verified apply; keep genuinely re-runnable runners at the top level with one README line each,2,no,TF-11,proposed,Nothing to delete blindly - several are the only record of why a DB value is what it is.
CC-3349,frontend/app/sitemap.ts,191-201,"for (const country of countries) { const tests = await getCountryHealthTests(country.code); ... pushLocalized(country, `/lab-tests/${t.slug}`, 0.6, ...) }  // no health-tests gate",legitimate_market_rule,"ie,ro","cz,pt,es,br",sitemap.xml - 84 /{country}/{lang}/lab-tests/{slug} URLs for Ireland,"The page (app/[country]/[lang]/tests, served at /lab-tests via a next.config rewrite) calls notFound() unless isCountryFeatureEnabled(overlay, 'health-tests')",wrong,"2026-09-15: sitemap.xml holds 90 lab-tests URLs. https://www.myglobalhealth.online/ireland/en/lab-tests -> 404, https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-d-test -> 404, https://www.myglobalhealth.online/romania/ro/lab-tests -> 200. All 84 Ireland detail URLs 404.","Wrap the detail loop in the same isCountryFeatureEnabled(country, 'health-tests') guard the hub loop at line 528 already uses - or have pushLocalized take the feature key so route and sitemap can never disagree",1,yes,TF-12,proposed,"Related shared-template consistency defect, not a country-coupling row: the hub is gated, the detail loop is not. 84 sitemapped 404s."
