prospect_domain,prospect_url,links_to_competitors,competitor_target,anchor,domain_rank,page_rank,spam_score,dofollow,first_seen,prospect_type,suggested_asset,priority,rationale,manual_verification,outreach_status
www.info-piestany.sk,https://www.info-piestany.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/nemocnice/lozkove-oddelenia/chirurgia/okres-91-piestany-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/chirurgie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,8,0,true,2026-08-19 21:57:32 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-povazskabystrica.sk,https://www.info-povazskabystrica.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/interne-ambulancie/plucne-ambulancie/okres-100-povazska-bystrica-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/plicni/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,0,0,true,2026-08-19 20:13:51 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-zvolen.sk,https://www.info-zvolen.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/lekarske-ordinacie/interne-ambulancie/plucne-ambulancie/okres-132-zvolen-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/plicni/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,3,0,true,2026-08-19 20:02:30 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-kosice.sk,https://www.info-kosice.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/nemocnice/obec-7318-kosice-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/gastroenterologie/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,4,0,true,2026-08-19 18:58:01 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-novezamky.sk,https://www.info-novezamky.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/nemocnice/lozkove-oddelenia/ocne-oddelenie/okres-107-nove-zamky-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/ocni/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,65,14,0,true,2026-08-19 15:25:28 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-jihlava.cz,https://www.info-jihlava.cz/katalog/instituce-a-organizace/zdravotnicka-zarizeni/pracovnelekarske-sluzby/okres-70-jihlava-strana-1.html,euc.cz,https://euc.cz/kontakty/,Kontakty | EUC,65,16,0,true,2023-06-19 09:14:50 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.prolekare.cz,https://www.prolekare.cz/en/journals/perspectives-in-surgery/2023-4-1/rozsah-chirurgickeho-vykonu-u-triple-negativnich-karcinomu-prsu-134594,euc.cz|ulekare.cz,http://euc.cz/,jiri.gatek@euc.cz,63,0,0,true,2024-08-07 22:44:02 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.hudy.cz,https://www.hudy.cz/zakladni-outdoor-vybaveni-lekarnicka,euc.cz,https://euc.cz/obory-lecby/alergologie-a-imunologie/,alergie,63,0,0,true,2023-02-11 10:46:49 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.c-budejovice.cz,https://www.c-budejovice.cz/zdravotni-socialni-pece-seniori,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/,EUC Klinika České Budějovice,63,0,0,true,2022-06-16 14:08:18 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.zdrave.cz,https://www.zdrave.cz/pece-o-telo/prolezeniny-proc-je-nepodcenovat-a-kdy-mohou-byt-i-zivotu-nebezpecne/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/prolezeniny-priciny-stupne-lecba-a-prevence/,euc.cz,61,0,0,true,2024-06-19 16:04:11 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
healthpro.group,https://healthpro.group/sk/,konzultacelekare.cz,http://konzultacelekare.cz/,,61,0,0,false,2024-08-10 01:17:53 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
ifirmy.cz,https://ifirmy.cz/firma/266360-detsky-lekar-kartouzska-sro,euc.cz,http://euc.cz/,euc.cz,60,0,0,true,2022-05-03 11:53:48 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.mesicnikzdravi.cz,https://www.mesicnikzdravi.cz/spankova-apnoe-u-zen-priznaky-a-lecba/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-usti-nad-labem/spankova-laborator/,EUC Klinika Ústí nad Labem,59,0,0,true,2025-09-22 18:07:56 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
damskydenik.cz,https://damskydenik.cz/pr-clanky/priprava-na-porod-vas-zbavi-strachu-a-nejistoty/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-kladno/gynekologie/,gynekologii Kladno,59,0,0,true,2023-08-09 04:32:25 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
www.info-ruzomberok.sk,https://www.info-ruzomberok.sk/katalog/institucie-a-organizacie/zdravotnicke-zariadenia/nemocnice/lozkove-oddelenia/ocne-oddelenie/okres-118-ruzomberok-strana-1.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/ocni/,euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava …,58,7,0,true,2026-08-19 15:31:56 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.e-teplicko.cz,https://www.e-teplicko.cz/zpravy/zajimavosti/215032-nastartovani-uzdravovacich-procesu-v-tele,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-usti-nad-labem/ortopedie/,fyzioterapeuti z Ústí nad Labem,58,0,0,true,2023-10-28 09:40:37 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
mladilekarnici.cz,https://mladilekarnici.cz/2023/02/mladi-lekarnici-a-mladi-lekari-maji-zajem-urcovat-trend-diskuze-ve-zdravotnictvi-akce-medidays-2023-byla-unikatni-kvalitou-obsahu-i-skladbou-hostu/,meddi.com|euc.cz,http://meddi.com/,MEDDI Hub,57,0,15,true,2025-04-02 11:02:19 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.medijob.cz,https://www.medijob.cz/nabidka/lekar-orl-kladno-hutska/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-kladno/,Webová stránka,55,0,0,false,2025-05-03 07:42:13 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.onconet.cz,https://www.onconet.cz/index-en.php?pg=detail-zdravotnicke-zarizeni&id=125,euc.cz,https://euc.cz/nase-zarizeni/mamocentra/euc-mamocentrum-ostrava/,https://euc.cz/nase-zarizeni/mamocentra/euc-mamocentrum-ostrava/,55,0,0,true,2024-07-31 17:31:29 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.linkos.cz,https://www.linkos.cz/lekar-a-multidisciplinarni-tym/narodni-onkologicka-sit/mapa-komplexni-onkologicke-pece-cr/?,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/preventivni-onkologie/,Domovské stránky,54,0,10,true,2026-06-18 16:06:44 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
technofizi.net,https://technofizi.net/sitelike/ulekare.cz,euc.cz|znamylekar.cz|ulekare.cz,http://ulekare.cz/,ulekare.cz,54,0,0,false,2022-06-28 08:50:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.radyprovsechny.cz,https://www.radyprovsechny.cz/na-cem-si-pochutnaji-zdrave-zuby-a-dasne/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-liberec/stomatologie-a-maxilofacialni-chirurgie/,zubní chirurgii,53,0,0,true,2024-07-05 18:34:00 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.regionkladensko.cz,https://www.regionkladensko.cz/zdravotnictvi/22092-laborator-euc-klinika-kladno-kladno.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-kladno/laborator/,webu,53,0,0,true,2025-02-22 19:19:04 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.euclekarna.cz,https://www.euclekarna.cz/blog/inzulin-pomaha-jiz-100-let-od-roku-1921,euc.cz,https://euc.cz/clanky-a-novinky/clanky/diabetes-cukrovka/,diabetes,53,0,0,true,2021-09-12 12:40:14 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.vysokahra.cz,https://www.vysokahra.cz/civilizacni-choroby-aneb-jake-nemoci-nejvice-trapi-vyspele-spolecnosti/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/obezita-priciny-stupne-rizika-a-lecba/,píše server EUC,53,0,0,true,2024-07-22 15:05:30 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.regionplzensko.cz,https://www.regionplzensko.cz/zdravotnictvi/28876-obezitologie-a-nutricni-poradna-jana-sponnerova-dis-plzen.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-plzen/tym/jana-sponnerova-dis/,webu,52,0,0,true,2025-04-28 21:29:08 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.regionslansko.cz,https://www.regionslansko.cz/zdravotnictvi/22353-rehabilitace-euc-klinika-slany-slany.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-slany/rehabilitace/,webu,52,0,0,true,2025-02-22 18:19:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.vysokahra.sk,https://www.vysokahra.sk/civilizacni-choroby-aneb-jake-nemoci-nejvice-trapi-vyspele-spolecnosti/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/obezita-priciny-stupne-rizika-a-lecba/,píše server EUC,52,0,0,true,2023-05-27 14:34:47 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
vitalnisenior.cz,https://vitalnisenior.cz/2018/09/jak-postupovat-pri-hledani-lekare-zacnete-u-znamych-s-problemy-pomuze-pojistovna/,znamylekar.cz,http://znamylekar.cz/,znamylekar.cz.,52,0,0,true,2019-03-19 01:28:34 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.earch.cz,https://www.earch.cz/revue/clanek/naordinujte-si-zdravi,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/endokrinologie/,endokrinologové z Českých Budějovic,51,0,0,true,2024-01-04 10:15:30 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.umirani.cz,https://www.umirani.cz/adresar-sluzeb/agentura-domaci-pece-salus-domaci-zdravotni-pece,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-praha-kartouzska/domaci-zdravotni-pece/,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-praha-kartouzska/domaci-zdravotni-pece/,51,0,0,true,2026-08-02 09:35:59 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.ustinadlabemdnes.cz,https://www.ustinadlabemdnes.cz/zpravodajstvi/32859-cas-pro-zdrave-srdce-a-cevy-je-prave-ted/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-usti-nad-labem/kardiologie/,kardiologie v Ústí nad Labem,51,0,0,true,2025-12-05 11:10:52 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.ostravadnes.cz,https://www.ostravadnes.cz/zpravodajstvi/45245-nahla-ostra-bolest-v-podbrisku-horecka-a-zvraceni-jsou-vzdy-signaly-rychle-vyhledat-lekarskou-pomoc-duvodu-muze-byt-cela-rada-ale-vzdy-to-bude-akutni-zdravotni-prihoda-ktera-vyzaduje-rychle-odborne-reseni/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ostrava/gynekologie/,gynekologie Ostrava,50,0,0,true,2025-12-29 08:35:25 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
zdravizivot.cz,https://zdravizivot.cz/z-mediciny/letni-pece-o-chronicke-rany-jak-urychlit-hojeni-a-zamezit-komplikacim/3463/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/jak-pecovat-o-chronickou-ranu-v-lete-zamerte-se-na-spravnou-vyzivu/,EUC,48,0,0,true,2025-10-18 10:59:35 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
en.materasso.cz,https://en.materasso.cz/blog/detail/how-does-sleep-affect-your-health/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/vysoky-krevni-tlak-muze-byt-predzvesti-cukrovky/,high blood pressure,47,0,0,true,2026-08-26 23:18:33 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.findhealthclinics.com,https://www.findhealthclinics.com/CZ/Brno/103004352884172/EUC-Klinika-Brno,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-brno/,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-brno/,47,0,0,true,2024-11-15 11:18:08 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.jobka.cz,https://www.jobka.cz/funkce/ulekare-cz/,ulekare.cz,https://ulekare.cz/,uLékaře.cz,47,1,0,true,2024-11-15 18:16:26 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
kover.education,https://kover.education/blog/online-medicina-cz,znamylekar.cz|ulekare.cz,http://znamylekar.cz/,Znamylekar.cz,42,0,0,true,2026-04-11 03:40:38 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.jakbytfit.cz,https://www.jakbytfit.cz/zdrave-tipy/bolestive-obtize-ktere-nechcete/,euc.cz,https://euc.cz/obory-lecby/urologie-a-andrologie/,urologie,39,0,0,true,2023-03-28 07:35:37 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
appgoblin.info,https://appgoblin.info/apps/cz.znamylekar,znamylekar.cz,https://znamylekar.cz/,znamylekar.cz,39,0,10,true,2024-12-19 13:09:55 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.mustat.com,https://www.mustat.com/znamylekar.cz,znamylekar.cz|ulekare.cz,https://znamylekar.cz/,Znamylekar.cz,39,0,0,true,2025-10-05 12:01:45 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.findmassleads.com,https://www.findmassleads.com/websites/znamylekar.cz?h=4048262448284,znamylekar.cz,https://znamylekar.cz/,znamylekar.cz,36,0,0,true,2023-10-23 15:16:55 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
dayofdifference.org.au,https://dayofdifference.org.au/m-medical/medical-hradec-krlov-gebauerova.html,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-praha-malesice/tym/mudr-azita-gebauerova/,MUDr. Azita Gebauerová - EUC,35,0,0,false,2024-05-06 09:44:02 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
mladilekari.cz,https://mladilekari.cz/2023/02/14/akce-medidays-2023-byla-unikatni-kvalitou-obsahu-i-skladbou-hostu/,meddi.com|euc.cz,http://meddi.com/,MEDDI Hub,32,0,0,true,2023-02-19 00:15:56 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
web.notifyninja.com,https://web.notifyninja.com/znamylekar.cz,znamylekar.cz|ulekare.cz,http://znamylekar.cz/,znamylekar.cz,32,0,0,true,2022-03-13 22:28:13 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
asitestatus.com,https://asitestatus.com/www/ulekare.cz,ulekare.cz,http://ulekare.cz/,http://ulekare.cz,31,0,0,true,2026-05-30 04:05:25 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
ifarmacie.cz,https://ifarmacie.cz/obezita/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/obezita-priciny-stupne-rizika-a-lecba/,několika stupňů,27,0,0,true,2023-08-04 05:45:04 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.andreatengler.cz,http://www.andreatengler.cz/2013/04/vas-znamy-lekar.html,znamylekar.cz,http://znamylekar.cz/,ZnamyLekar.cz,27,0,15,true,2023-10-09 11:26:34 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.info-zdravi.cz,https://www.info-zdravi.cz/zenske-zdravi/spankova-apnoe-u-zen-priznaky-a-lecba/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-usti-nad-labem/spankova-laborator/,EUC Klinika Ústí nad Labem,26,0,0,true,2025-11-13 05:44:43 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.jobka.sk,https://www.jobka.sk/funkcie/ulekare-cz-online-lekarska-poradna/,ulekare.cz,https://ulekare.cz/,uDoctor.cz.,26,1,5,true,2025-10-22 23:24:22 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.jobka.eu,https://www.jobka.eu/functions/ulekare-cz-online-medical-advice/,ulekare.cz,https://ulekare.cz/,uDoctor.cz,26,1,5,true,2025-10-22 23:12:39 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
www.rvda.cz,https://www.rvda.cz/subjekty-verejneho-zajmu/seznam-subjektu-verejneho-zajmu/subjekty-verejneho-zajmu-a-slozeni-vyboru-pro-audit-stav-k-31122024,euc.cz,https://euc.cz/pro-profesionaly/o-skupine-euc/vybor-pro-audit/,Výbor pro audit,20,0,0,true,2025-04-12 23:52:26 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
kombe.cz,https://kombe.cz/kde-koupit-kombe/euc-lekarna-ceske-budejovice-ceske-budejovice-matice-skolske-1786-17.html,euc.cz,https://euc.cz/nase-zarizeni/lekarny/euc-lekarna-ceske-budejovice/,https://euc.cz/nase-zarizeni/lekarny/euc-lekarna-ceske-budejovice/,20,0,0,true,2021-10-04 08:35:15 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
revitalash.cz,https://revitalash.cz/pages/seznam-klinik,euc.cz,https://euc.cz/nase-zarizeni/mamocentra/euc-mamocentrum-ostrava/,EUC Mamocentrum Ostrava,19,0,0,true,2023-10-05 11:25:56 +00:00,news/media,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,P1,Possible source-update or expert-comment opportunity; no paid placement assumed.,required,not contacted
www.prelekara.sk,https://www.prelekara.sk/casopisy/rozhledy-v-chirurgii/2023-4-1/rozsah-chirurgickeho-vykonu-u-triple-negativnich-karcinomu-prsu-134594,euc.cz,http://euc.cz/,jiri.gatek@euc.cz,17,0,0,true,2023-06-29 05:09:13 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
uzdravsizada.cz,https://uzdravsizada.cz/nemoci/bolest-na-hrudi-od-krcni-patere-kdy-je-to-vazne-a-jak-si-pomoci/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/bolest-krcni-patere-a-krku-priciny-a-lecba/,[2],14,0,0,true,2025-09-22 01:16:12 +00:00,health/medical publication,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P1,Medical relevance; pitch only a genuinely useful Czech expert/source contribution.,required,not contacted
help.docplanner.com,https://help.docplanner.com/107/doc/prvni-pristup-jak-vyhledavat,znamylekar.cz,http://znamylekar.cz/,ZnamyLekar.cz,79,0,0,true,2026-05-13 21:14:09 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
goodpods.com,https://goodpods.com/podcasts/petr-m%C3%A1ra-podcast-220373/podcast-19-pl%C3%A1n-b-nov%C3%BD-norm%C3%A1ln%C3%AD-norm%C3%A1l-25162458,ulekare.cz,http://ulekare.cz/,ulekare.cz,79,0,0,false,2025-06-23 05:36:46 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
nette.org,https://nette.org/fr/,meddi.com,https://meddi.com/,,75,0,0,true,2023-02-19 01:59:47 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
www.emimino.cz,https://www.emimino.cz/diskuse/vlasta-kulova-367132/,euc.cz,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/tym/mudr-vladimir-forst/,https://euc.cz/…dimir-forst/,75,0,0,true,2026-08-29 10:25:44 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
www.fitzivot.cz,https://www.fitzivot.cz/magazin/alergicka-ryma-priciny-moderni-lecba/,euc.cz,https://euc.cz/clanky-a-novinky/clanky/senna-ryma-priznaky-priciny-komplikace-a-lecba/,euc.cz/clanky-a-novinky,73,15,0,false,2026-04-16 03:20:54 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
www.kvety.cz,https://www.kvety.cz/zajimavosti/kyberchondrie-diagnoza-z-internetu-cesi-pruzkum/,ulekare.cz,http://ulekare.cz/,ulekare.cz,73,0,0,true,2025-03-28 14:26:26 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
www.nkz.cz,https://www.nkz.cz/promotion/volny-cas/zelena-domacnost/kdyz-oci-volaji-o-pomoc-poslouchejte?utm_campaign=pr_article,euc.cz,https://euc.cz/obory-lecby/oftalmologie-ocni/,oftalmologie,71,0,0,true,2023-03-21 22:11:58 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
talk.youradio.cz,https://talk.youradio.cz/porady/psychochat/e33-manicke-predsevzeti-motivace-vyhoreni-vnimani-noveho-roku-a-mnohem-vic,euc.cz|ulekare.cz,https://euc.cz/clanky-a-novinky/clanky/jak-dodrzet-novorocni-predsevzeti/,https://euc.cz/clanky-a-novinky/clanky/jak-dodrzet-novorocni-predsevzeti/,71,0,0,true,2026-03-10 07:40:12 +00:00,relevant-site review,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,P2,Manual topical and editorial-quality verification required before outreach.,required,not contacted
