"keyword","seed","reason","search_volume"
"reteta ciment placare piatra","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reinnoire domeniu pret","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta ciment semiumed","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta betonului amprentat","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta mortar betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton aparent","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton sclivisit","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta oficinala definitie","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton refractar","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta tencuiala mecanizata","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta mastic bituminos","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton impermeabil","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta succesului compunere","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"compunere reteta succesului","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton asfaltic","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton curte","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta strop ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"fisa tehnologica reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"beton semiuscat reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton piatra decorativa","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta piatra decorativa interior","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta succesului unei echipe","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta corecta de mortar","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta succesului in afaceri","reinnoire reteta","Renewal/prescription wording lacks medical service context","0"
"reteta ciment la betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"ce inseamna ao pe reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta tencuiala var ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"reteta mortar ciment nisip","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"reteta beton pentru trotuare","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"reteta beton pentru trotuar","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"reinnoire pozitii catalog seap","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta preparare mortar la betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"reteta tencuiala ciment nisip","reinnoire reteta","Renewal/prescription wording lacks medical service context","30"
"reteta praf de marmura cu ciment alb","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"reteta mortar zidarie piatra","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta ciment pentru matrite","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta mortar zidarie cu multibat","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta piatra decorativa din ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta balast stabilizat cu ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta mozaic beton","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton pentru alei","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta somon florin dumitrescu","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta mortar var ciment","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta mortar zidarie multibat","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta mortar zidarie bca","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta mortar zidarie boltari beton","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta piatra decorativa din ipsos","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton c16/20 la betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton c20/25 la betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta beton c16 20 la betoniera","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta betoane holcim","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta beton statie","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta otel damasc","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta mortar tencuiala interior","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta astronautilor pe puncte","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta mortar zidarie horn","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta mortar tencuiala tavan","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"mica enciclopedie hygge reteta daneza a fericirii recenzii","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reinnoire buletin","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","590"
"reinnoire pasaport","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","140"
"digisign reinnoire anaf","reinnoire reteta","Renewal/prescription wording lacks medical service context","30"
"reinnoire copie conforma arr","reinnoire reteta","Renewal/prescription wording lacks medical service context","390"
"transsped reinnoire certificat","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reinnoire sau reinnoire","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"reinnoire certificat patrimven","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reinnoire viza flotant","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reinnoire sinonim","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"certsign.ro reinnoire","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"revani reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"reteta regenon","reinnoire reteta","Renewal/prescription wording lacks medical service context","30"
"reinnoire atestat adr","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"certsign ro reinnoire","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"certsign reinnoire certificat expirat","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","10"
"reteta chec","reinnoire reteta","Renewal/prescription wording lacks medical service context","8100"
"reteta rechin","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"regenon reteta verde","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","3600"
"chec reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","1900"
"reteta eclere","reinnoire reteta","Renewal/prescription wording lacks medical service context","2400"
"reteta medicala","reinnoire reteta","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","880"
"pricomigdale reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","1300"
"reteta storceag","reinnoire reteta","Renewal/prescription wording lacks medical service context","390"
"reteta beton","reinnoire reteta","Renewal/prescription wording lacks medical service context","320"
"linte reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","1000"
"reteta savarina","reinnoire reteta","Renewal/prescription wording lacks medical service context","720"
"reteta ciolomada","reinnoire reteta","Renewal/prescription wording lacks medical service context","110"
"ecler reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","260"
"parjoale reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","210"
"ciresata reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","590"
"ciolomada reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","170"
"reteta savarine","reinnoire reteta","Renewal/prescription wording lacks medical service context","720"
"reteta parjoale","reinnoire reteta","Renewal/prescription wording lacks medical service context","320"
"reinnoire atestate","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent",""
"valabilitate reteta compensata","reinnoire reteta","Renewal/prescription wording lacks medical service context","390"
"reteta paleuri","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"sangerete reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"model reteta medicala completata","reinnoire reteta","Physical location, employment, form or public-system intent; no commercial owner","390"
"reteta medicala scrisa","reinnoire reteta","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","880"
"sarailie reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","260"
"reteta compensata","reinnoire reteta","Renewal/prescription wording lacks medical service context","260"
"condyline fara reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"icre reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","210"
"soleanca reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"reinnoire card pradaxa","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reinnoire pad groupama","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reteta verde","reinnoire reteta","Renewal/prescription wording lacks medical service context","320"
"acte necesare reinnoire copie conforma arr","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent","390"
"reteta pasat","reinnoire reteta","Renewal/prescription wording lacks medical service context","90"
"reteta zmeurata","reinnoire reteta","Renewal/prescription wording lacks medical service context","70"
"aulin fara reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","30"
"scoruse reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","260"
"reteta medicala model","reinnoire reteta","Physical location, employment, form or public-system intent; no commercial owner","210"
"reteta soleanca","reinnoire reteta","Renewal/prescription wording lacks medical service context","50"
"fanuropita reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","20"
"reteta de","reinnoire reteta","Renewal/prescription wording lacks medical service context","390"
"reinnoire cheie acces arr","reinnoire reteta","Renewal/prescription wording lacks medical service context",""
"reinnoire certificat certsign reges","reinnoire reteta","Nonmedical renewal, shopping or home-remedy intent",""
"reinnoire card de sanatate","reinnoire reteta","Renewal/prescription wording lacks medical service context","40"
"cirighele reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"fuagra reteta","reinnoire reteta","Renewal/prescription wording lacks medical service context","140"
"reteta sturion","reinnoire reteta","Renewal/prescription wording lacks medical service context","110"
"programare reinnoire buletin","reinnoire reteta","Physical location, employment, form or public-system intent; no commercial owner","140"
"medicamente cu reteta","reinnoire reteta","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","20"
"reinnoire certificat autenticitate rar","reinnoire reteta","Renewal/prescription wording lacks medical service context","10"
"dimensiune reteta medicala","reinnoire reteta","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"reteta suba","reinnoire reteta","Renewal/prescription wording lacks medical service context","90"
"cea mai buna masca de par acasa","caderea parului","Nonmedical renewal, shopping or home-remedy intent","880"
"leacuri batranesti pentru cresterea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","720"
"top 10 sampoane impotriva caderii parului","caderea parului","No evidenced existing service intent","590"
"masca de par pentru caderea parului si crestere","caderea parului","Nonmedical renewal, shopping or home-remedy intent","590"
"pastile pentru caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","480"
"masca pentru par uscat si vopsit","caderea parului","Nonmedical renewal, shopping or home-remedy intent","480"
"cea mai buna masca de par impotriva caderii parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","390"
"complex vitamine pentru par","caderea parului","No evidenced existing service intent","390"
"am scapat de alopecie","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","390"
"tratamente pentru caderea parului facute acasa","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","320"
"vitamine pentru caderea parului la femei","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","260"
"vitamine caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","260"
"complex vitamine pentru caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","260"
"sampon impotriva caderii parului femei","caderea parului","Nonmedical renewal, shopping or home-remedy intent","210"
"cele mai bune vitamine pentru par forum","caderea parului","No evidenced existing service intent","210"
"masca pentru par uscat facuta in casa","caderea parului","Nonmedical renewal, shopping or home-remedy intent","210"
"pentru caderea parului la femei tratament natural","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","170"
"cele mai bune pastile pentru cresterea parului","caderea parului","No evidenced existing service intent","170"
"tricoscopie pret","caderea parului","No evidenced existing service intent","170"
"ulei de ricin pentru par pareri","caderea parului","Nonmedical renewal, shopping or home-remedy intent","170"
"in cat timp creste parul cu ulei de ricin","caderea parului","Nonmedical renewal, shopping or home-remedy intent","170"
"masca de par cu ou pentru caderea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","170"
"cele mai bune fiole impotriva caderii parului","caderea parului","No evidenced existing service intent","170"
"caderea parului la copii","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","140"
"tratament pentru indesirea parului la femei","caderea parului","No evidenced existing service intent","110"
"forcapil sampon impotriva caderii parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","110"
"vitamine pentru caderea parului la copii","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","90"
"lipsa de vitamine caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","90"
"vitamine pentru par dr max","caderea parului","No evidenced existing service intent","90"
"oprirea caderii parului la femei","caderea parului","No evidenced existing service intent","90"
"tratament naturist pentru caderea parului cu ulei de ricin","caderea parului","Nonmedical renewal, shopping or home-remedy intent","70"
"cele mai bune vitamine pentru caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","70"
"vitamine pentru cresterea parului farmacie","caderea parului","No evidenced existing service intent","70"
"masca de par cu ulei de ricin si vitamina a","caderea parului","Nonmedical renewal, shopping or home-remedy intent","70"
"masca de par cu ulei de ricin si ou","caderea parului","Nonmedical renewal, shopping or home-remedy intent","70"
"masca de par pentru cresterea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","70"
"analize caderea parului synevo","caderea parului","Competitor brand","50"
"dermatolog caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","50"
"farmacia tei sampon impotriva caderii parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","50"
"medic tricolog","caderea parului","No evidenced existing service intent","50"
"tratament regenerare par barbati forum","caderea parului","No evidenced existing service intent","40"
"femei cu alopecie pareri","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","40"
"dermatolog specialist caderea parului bucuresti","caderea parului","Physical location, employment, form or public-system intent; no commercial owner","40"
"masca de par naturala pentru caderea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","40"
"caderea parului la copii forum","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","30"
"caderea parului la copii de 7 ani","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","30"
"caderea parului la copii de 14 ani","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","30"
"tricolog bucuresti","caderea parului","Physical location, employment, form or public-system intent; no commercial owner","30"
"dermatolog par bucuresti","caderea parului","Physical location, employment, form or public-system intent; no commercial owner","30"
"retete cu ulei de ricin pentru cresterea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","30"
"masca de par cu ulei de ricin pentru cresterea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent","30"
"remedii naturiste pentru caderea parului la barbati","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"masca pentru caderea parului acasa","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"sampon pentru caderea parului la copii","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"sampon impotriva caderii parului plafar","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"vitamine pentru caderea parului barbati","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","20"
"sampon cu ulei de ricin pareri","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"masca de par pentru caderea parului si crestere acasa","caderea parului","Nonmedical renewal, shopping or home-remedy intent","20"
"tratament pentru caderea parului la copii","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"caderea parului la copii 12 ani","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"caderea parului la copii de 11 ani","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"cel mai bun tratament impotriva caderii parului la femei","caderea parului","No evidenced existing service intent",""
"cel mai bun tratament pentru caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"cel mai bun sampon pentru caderea parului femei","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"cel mai bun tratament naturist pentru caderea parului","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"doctor specialist in caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"cel mai bun tratament pentru regenerarea parului la barbati","caderea parului","No evidenced existing service intent",""
"cel mai bun tratament impotriva caderii parului la femei forum","caderea parului","No evidenced existing service intent",""
"cel mai bun tratament impotriva caderii parului la femei naturist","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"caderea parului la adolescenti","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"cel mai bun sampon impotriva caderii parului forum","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"cel mai bun sampon impotriva caderii parului barbati","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"cel mai bun sampon fara sulfati","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"cel mai bun tratament pentru alopecie","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"cel mai bun dermatolog caderea parului","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"vitamine caderea parului barbati","caderea parului","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"cel mai bun ulei de ricin pentru par","caderea parului","Nonmedical renewal, shopping or home-remedy intent",""
"regina maria galati","medicina de familie","Competitor brand","1600"
"coordonatori rezidentiat","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","880"
"curricula medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","390"
"rezidentiat medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","320"
"caut medic de familie","medicina de familie","No evidenced existing service intent","260"
"schimbare medic de familie","medicina de familie","No evidenced existing service intent","260"
"medic de familie sector 1","medicina de familie","No evidenced existing service intent","170"
"inscriere medic de familie online","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","140"
"acte necesare schimbare medic de familie","medicina de familie","Nonmedical renewal, shopping or home-remedy intent","140"
"cerere transfer medic de familie pdf","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","140"
"ani rezidentiat pe specialitati","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","110"
"durata rezidentiat medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"lista specialitati medicale rezidentiat","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"curricula rezidentiat medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"rezidentiat medicina interna","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"acte inscriere medic de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"inscriere medic de familie cluj","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"curricula medicina interna","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","90"
"inscrieri medic de familie sector 2","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","70"
"lista medici de familie cluj","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","70"
"fisa de transfer medic de familie","medicina de familie","No evidenced existing service intent","70"
"nomenclator specialitati medicale","medicina de familie","No evidenced existing service intent","50"
"rezidentiat medicina durata","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","50"
"inscriere medic de familie fara asigurare","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","50"
"cerere inscriere medic familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","50"
"inscriere medic de familie sector 1","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","50"
"cerere schimbare medic de familie","medicina de familie","No evidenced existing service intent","50"
"durata rezidentiat pe specialitati","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","40"
"schimbare medic familie acte necesare","medicina de familie","Nonmedical renewal, shopping or home-remedy intent","40"
"ani rezidentiat pe specialitati 2025","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"specialitati medicale compatibile","medicina de familie","No evidenced existing service intent","30"
"specializari rezidentiat medicina dentara","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"curricula medicina de familie 2025","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"stagii rezidentiat medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"curricula rezidentiat medicina interna","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"curricula medicina interna 2017","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"cnas schimbare medic de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"inscriere medic de familie bucuresti","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","30"
"coordonatori rezidentiat medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"durata rezidentiat neurochirurgie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"durata rezidentiat cardiologie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"rezidentiat pediatrie durata","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"rezidentiat neurologie durata","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"rezidentiat medicina de familie durata","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"cati ani de rezidentiat se fac la chirurgie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","20"
"curricula rezidentiat medicina de familie 2024","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"durata rezidentiat chirurgie generala","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"curricula medicina de familie 2026","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"rezidentiat medicina de familie reddit","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"cati ani de rezidentiat se fac la medicina de familie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"cati ani de rezidentiat se fac la ginecologie","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner","10"
"nomenclator specialitati medicale 2025","medicina de familie","No evidenced existing service intent","10"
"top specialitati medicale","medicina de familie","No evidenced existing service intent","10"
"caut medic de familie baia mare","medicina de familie","No evidenced existing service intent","10"
"competente medicina de familie","medicina de familie","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"rezidentiat medicina de familie pareri","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner",""
"inscriere medic de familie regina maria","medicina de familie","Competitor brand",""
"inscriere medic de familie sector 3","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner",""
"medic de familie bucuresti","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner",""
"regina maria medici","medicina de familie","Competitor brand",""
"regina maria endocrinologie","medicina de familie","Competitor brand",""
"medic de familie pediatru regina maria","medicina de familie","Competitor brand",""
"pneumologie regina maria","medicina de familie","Competitor brand",""
"medic de familie regina maria cluj","medicina de familie","Competitor brand",""
"medic de familie regina maria bucuresti","medicina de familie","Competitor brand",""
"medic de familie regina maria constanta","medicina de familie","Competitor brand",""
"medic de familie sector 3","medicina de familie","No evidenced existing service intent",""
"medic de familie sector 4","medicina de familie","No evidenced existing service intent",""
"inscrieri medic de familie sector 3","medicina de familie","Physical location, employment, form or public-system intent; no commercial owner",""
"medic de familie regina maria","medicina de familie","Competitor brand",""
"fares ceai silueta perfecta 2 controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","90"
"silueta perfecta controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","50"
"silueta perfecta 2 controlul greutatii pareri","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","50"
"ceai verde cu ghimbir si lamaie controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","30"
"ceai controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","20"
"fares controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","20"
"controlul greutatii fares","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","20"
"doc ro controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"controlul greutatii in sarcina","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"ceai silueta perfecta controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"silueta perfecta controlul greutatii fares","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"testare genetica pentru controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"fares controlul greutatii ceai","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"ceai de slabit fares controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"fares silueta perfecta controlul greutatii","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"silueta perfecta controlul greutatii pareri","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"herbalife controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"ceai silueta perfecta controlul greutatii fares","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"controlul greutatii farmacia tei","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"fares silueta perfecta controlul greutatii pareri","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","10"
"doc.ro controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"forever controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"silueta perfecta controlul greutatii fares forum","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","0"
"test genetic pentru controlul greutatii pret","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","0"
"controlul greutatii fares pareri","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","0"
"controlul greutatii fares forum","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent","0"
"silueta perfecta controlul greutatii ceai pareri","controlul greutatii","Nonmedical renewal, shopping or home-remedy intent",""
"test genetic controlul greutatii synevo","controlul greutatii","Competitor brand",""
"amway controlul greutatii","controlul greutatii","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent",""
"scrisoare medicala model","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","260"
"model scrisoare medicala pdf","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","170"
